method,seed,model_slug,geometry,family,objective,top_k,max_candidates,max_labels,threshold_factor,min_prob,marginal_temperature,neighbor_steps,random_seed,empirical_metric,alpha_neighbor,beta_opposite,gamma_cardinality,text_id,sent_id,text,gold_labels,standard_labels,decoded_labels,removed_labels,added_labels,removed_opposite_false_positives,lost_true_positives,gained_true_positives,sample_f1_standard,sample_f1_decoded,sample_f1_delta,top_probabilities
bce,7,deberta-v3-base,schwartz,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.2,0.0,NL_183,29,"Van Wijnen: ""We hope the government will be sensitive to the social value of our participation.",Universalism: concern,Benevolence: caring,Benevolence: caring | Universalism: concern,,Universalism: concern,,,Universalism: concern,0.0,0.6666666666666666,0.6666666666666666,Universalism: concern=0.2581 | Benevolence: caring=0.1709 | Benevolence: dependability=0.0609 | Power: resources=0.0466 | Self-direction: action=0.0273
bce,7,deberta-v3-base,schwartz,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.2,0.0,DE_294,38,"However, political power struggles and rampant corruption prevented lasting change.",Stimulation | Power: dominance,Achievement,Achievement | Power: dominance,,Power: dominance,,,Power: dominance,0.0,0.5,0.5,Achievement=0.6121 | Power: dominance=0.1489 | Security: societal=0.1158 | Self-direction: action=0.0661 | Power: resources=0.0556
bce,7,deberta-v3-base,schwartz,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.2,0.0,HE_008,20,"Considering the characteristics of Union Bank, its methods of operation, the difficulties it faces, including in the area of ​​efficiency, and the absence of a significant indication of the bank&#39;s influence on the other players in the market, there is no basis for stating that the bank&#39;s departure is expected to significantly harm competition.",Achievement,Power: dominance | Power: resources,Achievement | Power: dominance | Power: resources,,Achievement,,,Achievement,0.0,0.5,0.5,Power: resources=0.6844 | Achievement=0.2453 | Power: dominance=0.2235 | Security: societal=0.0500 | Stimulation=0.0269
bce,7,deberta-v3-base,schwartz,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.2,0.0,HE_085,20,"We will not hesitate to change it and adapt it to the evolving reality,&quot; she said during a press conference in the special situation room set up at the Ministry of Education ahead of the start of school.",Stimulation,Self-direction: thought | Self-direction: action,Self-direction: thought | Self-direction: action | Stimulation,,Stimulation,,,Stimulation,0.0,0.5,0.5,Self-direction: action=0.5346 | Stimulation=0.2979 | Self-direction: thought=0.1617 | Achievement=0.1229 | Hedonism=0.0202
bce,7,deberta-v3-base,schwartz,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.2,0.0,TR_162,18,"Children who will visit the organization will be able to play spinning top, hoop, ticktock, castle game, violet, lover, bouncing ball, ragamuffin head, three stones, five stones, nine stones, marbles, jump rope, swing, sack race, egg carrying race, spoon puppet, fairy tale, riddle-mania cubes, The children will have the chance to play more than 30 traditional children's games such as village spectacles, trump games, hopscotch, hanky-panky, leapfrog, children's theater, dalya, tug of war, istop, box of pliers, I sell oil, tinsel chicken, basmık and tin.",Stimulation,Hedonism | Benevolence: caring,Stimulation | Hedonism | Benevolence: caring,,Stimulation,,,Stimulation,0.0,0.5,0.5,Hedonism=0.5300 | Tradition=0.3882 | Stimulation=0.2810 | Benevolence: caring=0.2261 | Self-direction: action=0.1023
bce,7,deberta-v3-base,schwartz,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.2,0.0,TR_244,15,"We will not leave citizens helpless in this crisis, even if it is temporary.",Benevolence: caring,Security: societal | Universalism: concern,Security: societal | Benevolence: caring | Universalism: concern,,Benevolence: caring,,,Benevolence: caring,0.0,0.5,0.5,Universalism: concern=0.3218 | Security: societal=0.2043 | Benevolence: caring=0.1132 | Benevolence: dependability=0.0761 | Achievement=0.0692
bce,7,deberta-v3-base,schwartz,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.2,0.0,BG_031,5,"Military Minister Krassimir Karakachanov explained that only the BSP MPs and ""that party, I keep forgetting its name, I keep confusing it with a company"" - the formation of Veselin Mareshki, who is in sharp personal conflict with the military minister, voted against the proposal.",Self-direction: action | Conformity: rules,Self-direction: thought | Face,Self-direction: thought | Self-direction: action | Face,,Self-direction: action,,,Self-direction: action,0.0,0.4,0.4,Self-direction: action=0.3311 | Self-direction: thought=0.1777 | Face=0.1648 | Conformity: interpersonal=0.1095 | Benevolence: dependability=0.0410
bce,7,deberta-v3-base,schwartz,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.2,0.0,BG_171,11,"She pointed out that in 2019, over 3,800 SMEs in Bulgaria and over 180,000 jobs were supported and the support is ongoing.",Benevolence: caring,Power: resources | Benevolence: caring,Benevolence: caring,Power: resources,,Power: resources,,,0.6666666666666666,1.0,0.33333333333333337,Benevolence: caring=0.2852 | Universalism: concern=0.1279 | Achievement=0.1073 | Power: resources=0.0927 | Security: societal=0.0685
bce,7,deberta-v3-base,schwartz,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.2,0.0,BG_M_029,4,Introduction of zones with a lighter administrative regime for the construction of new RES on contaminated land that cannot be used for agricultural purposes;,Universalism: nature,Security: societal | Universalism: nature,Universalism: nature,Security: societal,,Security: societal,,,0.6666666666666666,1.0,0.33333333333333337,Universalism: nature=0.3611 | Conformity: rules=0.2173 | Security: societal=0.2132 | Universalism: concern=0.0445 | Self-direction: action=0.0435
bce,7,deberta-v3-base,schwartz,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.2,0.0,DE_161,30,"Are the Council and Commission really willing to ""tolerate this oligarchization of a member state?""",Universalism: concern,Power: dominance | Universalism: concern,Universalism: concern,Power: dominance,,Power: dominance,,,0.6666666666666666,1.0,0.33333333333333337,Universalism: concern=0.3437 | Self-direction: action=0.2013 | Power: dominance=0.1775 | Security: societal=0.1039 | Self-direction: thought=0.0544
bce,7,deberta-v3-base,schwartz,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.2,0.0,DE_224,18,The truck drivers and other employees in the logistics sector want to achieve higher wages and better working conditions.,Power: resources,Power: resources | Benevolence: caring,Power: resources,Benevolence: caring,,Benevolence: caring,,,0.6666666666666666,1.0,0.33333333333333337,Power: resources=0.1583 | Benevolence: caring=0.1368 | Achievement=0.1116 | Self-direction: action=0.0759 | Universalism: concern=0.0575
bce,7,deberta-v3-base,schwartz,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.2,0.0,EL_274,20,"Referring to the elections, Mr.Kikilias said that the goal of ND is to convince the entire Greek society that this country really deserves better.",Achievement,Achievement | Humility,Achievement,Humility,,Humility,,,0.6666666666666666,1.0,0.33333333333333337,Achievement=0.3449 | Self-direction: thought=0.1212 | Stimulation=0.1019 | Face=0.0964 | Self-direction: action=0.0749
bce,7,deberta-v3-base,schwartz,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.2,0.0,HE_008,7,This is a great victory for the supervision of the banks led by Hadva Bar who unequivocally supported the merger and against the position of the competition authority.,Achievement,Achievement | Humility,Achievement,Humility,,Humility,,,0.6666666666666666,1.0,0.33333333333333337,Achievement=0.9656 | Face=0.0489 | Humility=0.0302 | Power: dominance=0.0236 | Stimulation=0.0209
bce,7,deberta-v3-base,schwartz,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.2,0.0,HE_025,11,I believe in my ability to solve this crisis.&quot;,Achievement,Achievement | Humility,Achievement,Humility,,Humility,,,0.6666666666666666,1.0,0.33333333333333337,Achievement=0.8890 | Face=0.0947 | Self-direction: thought=0.0600 | Self-direction: action=0.0431 | Benevolence: dependability=0.0396
bce,7,deberta-v3-base,schwartz,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.2,0.0,HE_032,24,"This means that there will be no money for the hospitals, public transportation, the medicine basket, the Holocaust survivors, the food baskets, education, welfare and infrastructure.",Power: resources,Power: resources | Benevolence: caring,Power: resources,Benevolence: caring,,Benevolence: caring,,,0.6666666666666666,1.0,0.33333333333333337,Power: resources=0.3282 | Universalism: concern=0.1695 | Benevolence: caring=0.1406 | Security: societal=0.0502 | Achievement=0.0289
bce,11,deberta-v3-base,schwartz,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.2,0.0,TR_032,6,"Berkun Meral pointed out that fake advertisements and websites are designed with elements such as discounts and vacation opportunities that consumers tend to be easily persuaded, ""In the past months, a domestic cyber security company in Turkey conducted a study in which 30 thousand people believed the 'free Maldives vacation' scenario.",Security: societal | Conformity: rules,Security: personal,Security: personal | Security: societal | Conformity: rules,,Security: societal | Conformity: rules,,,Security: societal | Conformity: rules,0.0,0.8,0.8,Security: personal=0.3301 | Security: societal=0.2700 | Self-direction: action=0.0906 | Conformity: rules=0.0869 | Benevolence: caring=0.0552
bce,11,deberta-v3-base,schwartz,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.2,0.0,BG_112,4,They give BGN 4.2 million to employers to hire disabled people.,Universalism: concern,Benevolence: caring,Benevolence: caring | Universalism: concern,,Universalism: concern,,,Universalism: concern,0.0,0.6666666666666666,0.6666666666666666,Benevolence: caring=0.4034 | Universalism: concern=0.2805 | Power: resources=0.0280 | Benevolence: dependability=0.0163 | Achievement=0.0130
bce,11,deberta-v3-base,schwartz,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.2,0.0,DE_280,22,The nuclear phase-out had reduced the energy company's profits.,Achievement,Power: resources,Achievement | Power: resources,,Achievement,,,Achievement,0.0,0.6666666666666666,0.6666666666666666,Power: resources=0.4150 | Achievement=0.1466 | Security: societal=0.0234 | Stimulation=0.0078 | Universalism: nature=0.0032
bce,11,deberta-v3-base,schwartz,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.2,0.0,EN_376,13,"“I’m delighted, so excited about it.",Stimulation,Hedonism,Stimulation | Hedonism,,Stimulation,,,Stimulation,0.0,0.6666666666666666,0.6666666666666666,Hedonism=0.7398 | Stimulation=0.1530 | Benevolence: caring=0.0638 | Self-direction: thought=0.0316 | Self-direction: action=0.0282
bce,11,deberta-v3-base,schwartz,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.2,0.0,HE_029,2,"In the opinion of Orli Weiselberg-Zur, who filed a petition to the High Court demanding that the registration of the LGBT parents of a child be compared to the registration of heterosexual parents, and that she be registered as the mother of her common son with her partner Roit, this is &quot;another headline about pink revolutions in Israel&quot;.",Universalism: concern,Universalism: tolerance,Universalism: concern | Universalism: tolerance,,Universalism: concern,,,Universalism: concern,0.0,0.6666666666666666,0.6666666666666666,Universalism: tolerance=0.4877 | Universalism: concern=0.2855 | Tradition=0.0693 | Self-direction: action=0.0623 | Conformity: rules=0.0447
bce,11,deberta-v3-base,schwartz,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.2,0.0,IT_141,29,"Provided, however, that the allied countries ""remain united in maintaining and increasing sanctions pressure.""",Power: resources,Power: dominance,Power: dominance | Power: resources,,Power: resources,,,Power: resources,0.0,0.6666666666666666,0.6666666666666666,Power: dominance=0.4537 | Benevolence: dependability=0.1452 | Power: resources=0.0965 | Security: societal=0.0287 | Self-direction: action=0.0198
bce,11,deberta-v3-base,schwartz,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.2,0.0,IT_218,12,"Adjuvant immunotherapy lasts only one year, increases the chance of avoiding disease recurrence and, therefore, potentially curing the person,"" the oncologist emphasizes.",Security: personal,Security: societal,Security: personal | Security: societal,,Security: personal,,,Security: personal,0.0,0.6666666666666666,0.6666666666666666,Security: societal=0.3124 | Security: personal=0.2075 | Achievement=0.0121 | Benevolence: caring=0.0099 | Stimulation=0.0033
bce,11,deberta-v3-base,schwartz,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.2,0.0,NL_M_023,16,"Even through its own investments, the government will involve itself more actively in the economy than we have been used to in recent decades.",Power: dominance,Power: resources,Power: dominance | Power: resources,,Power: dominance,,,Power: dominance,0.0,0.6666666666666666,0.6666666666666666,Power: resources=0.4319 | Power: dominance=0.1432 | Self-direction: action=0.0845 | Conformity: rules=0.0306 | Benevolence: dependability=0.0221
bce,11,deberta-v3-base,schwartz,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.2,0.0,TR_016,6,"Within the scope of the circular we have sent to our governorships, it is a circular that includes the measures that our cities and citizens should take against the 11-article corona virus and what we will do regarding these measures.",Conformity: rules,Security: societal,Security: societal | Conformity: rules,,Conformity: rules,,,Conformity: rules,0.0,0.6666666666666666,0.6666666666666666,Security: societal=0.7753 | Conformity: rules=0.0888 | Security: personal=0.0395 | Self-direction: action=0.0276 | Universalism: concern=0.0167
bce,11,deberta-v3-base,schwartz,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.2,0.0,TR_055,18,"We have never given up on the sense of unity and solidarity created by the love and respect of the people living in this city.""",Benevolence: caring,Universalism: concern,Benevolence: caring | Universalism: concern,,Benevolence: caring,,,Benevolence: caring,0.0,0.6666666666666666,0.6666666666666666,Universalism: concern=0.3446 | Universalism: tolerance=0.2542 | Benevolence: caring=0.2072 | Benevolence: dependability=0.1630 | Tradition=0.0947
bce,11,deberta-v3-base,schwartz,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.2,0.0,TR_170,6,The institute will be the first of its kind in Turkey.,Achievement,Stimulation,Stimulation | Achievement,,Achievement,,,Achievement,0.0,0.6666666666666666,0.6666666666666666,Stimulation=0.2426 | Achievement=0.1471 | Self-direction: action=0.0549 | Self-direction: thought=0.0148 | Universalism: concern=0.0031
bce,11,deberta-v3-base,schwartz,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.2,0.0,HE_194,26,"&quot;The gaps have not changed&quot; While in the field of regulatory reform it is possible to mark the progress of the parties towards a compromise, when it comes to raising the retirement age for women the parties are at an impasse.",Power: dominance,Power: dominance | Benevolence: dependability | Universalism: concern,Power: dominance,Benevolence: dependability | Universalism: concern,,Benevolence: dependability | Universalism: concern,,,0.5,1.0,0.5,Universalism: concern=0.3063 | Power: dominance=0.2335 | Benevolence: dependability=0.2009 | Achievement=0.0993 | Universalism: tolerance=0.0441
bce,11,deberta-v3-base,schwartz,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.2,0.0,DE_247,21,"""In order to strengthen rail transport, not only investments in infrastructure are necessary, but also changes to the institutional framework,"" the Chairman of the Monopolies Commission, economist Achim Wambach, told the newspaper.",Self-direction: action,Stimulation | Power: resources,Self-direction: action | Stimulation | Power: resources,,Self-direction: action,,,Self-direction: action,0.0,0.5,0.5,Stimulation=0.4840 | Self-direction: action=0.1435 | Power: resources=0.1058 | Achievement=0.0726 | Self-direction: thought=0.0232
bce,11,deberta-v3-base,schwartz,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.2,0.0,HE_031,22,The second decision is to raise the price of water and harm the pensions of the elderly.,Universalism: concern,Security: societal | Benevolence: caring,Security: societal | Benevolence: caring | Universalism: concern,,Universalism: concern,,,Universalism: concern,0.0,0.5,0.5,Security: societal=0.4788 | Universalism: concern=0.2822 | Benevolence: caring=0.2285 | Power: resources=0.0345 | Security: personal=0.0169
bce,11,deberta-v3-base,schwartz,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.2,0.0,HE_087,34,"Even in the car we will remind them that everyone will be responsible for their behavior, because this is our limit - we don&#39;t drive when there are shouts and fights.",Conformity: rules,Conformity: interpersonal | Benevolence: dependability,Conformity: rules | Conformity: interpersonal | Benevolence: dependability,,Conformity: rules,,,Conformity: rules,0.0,0.5,0.5,Benevolence: dependability=0.2418 | Conformity: interpersonal=0.2388 | Self-direction: action=0.1347 | Power: dominance=0.1000 | Conformity: rules=0.0888
bce,11,deberta-v3-base,schwartz,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.2,0.0,IT_247,14,"With the 'eighth package of sanctions approved last Oct. 6 It will be prohibited, it says on the EU Commission website, to provide maritime transportation and technical assistance, brokering services, financing or financial assistance related to the maritime transportation to third countries of crude oil (from December 2022) or petroleum products (from February 2023) originating in Russia or exported from Russia if such products will be purchased at a price above the price cap to be established in the European Union.",Power: resources,Power: dominance | Conformity: rules,Power: dominance | Power: resources | Conformity: rules,,Power: resources,,,Power: resources,0.0,0.5,0.5,Conformity: rules=0.7116 | Power: dominance=0.1687 | Power: resources=0.1000 | Self-direction: action=0.0439 | Security: societal=0.0273
bce,11,deberta-v3-base,schwartz,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.2,0.0,EL_126,4,"With this ministerial decision, as specifically mentioned: - extended the granting of heating allowance for heating oil, in addition to the subsidy of heating fuel oil, natural gas, LPG, LPG, fuel oil, biomass pellet and thermal energy through district heating, which was in force last year. - the income criteria and the limits on the total value of the property were broadened to include more beneficiaries in the subsidy and the calculation basis and the maximum limit of the subsidy were increased. - a doubling of the amount of the allowance was foreseen, which can reach EUR 1 600 for new beneficiaries who do not use gas and for old beneficiaries who stop using gas and replace it with one of the other subsidised fuels or with district heating.",Power: resources | Benevolence: caring,Security: societal | Universalism: concern,Security: societal | Benevolence: caring | Universalism: concern,,Benevolence: caring,,,Benevolence: caring,0.0,0.4,0.4,Universalism: concern=0.4988 | Security: societal=0.2923 | Benevolence: caring=0.2077 | Security: personal=0.0346 | Stimulation=0.0303
bce,11,deberta-v3-base,schwartz,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.2,0.0,EL_171,10,"However, how employees feel about returning to the workplace varies by gender and career stage: - Gen Z - Millennials: Gen Z are more eager to return to the workplace to develop their careers and socialize more (51%), while Millennials are less positive (38%); - Gen X - Boomers: Gen X highly value being in the workplace to better focus and collaborate effectively away from household responsibilities.",Stimulation,Self-direction: thought | Self-direction: action | Benevolence: caring,Self-direction: thought | Self-direction: action | Stimulation | Benevolence: caring,,Stimulation,,,Stimulation,0.0,0.4,0.4,Benevolence: caring=0.2785 | Hedonism=0.1720 | Self-direction: action=0.1684 | Stimulation=0.1468 | Self-direction: thought=0.1132
bce,11,deberta-v3-base,schwartz,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.2,0.0,EL_298,5,"The Foreign Minister stressed the importance of promoting good neighbourly relations on the basis of international law, a position that Greece has held for decades.",Conformity: rules,Conformity: interpersonal | Benevolence: dependability | Universalism: concern,Conformity: rules | Conformity: interpersonal | Benevolence: dependability | Universalism: concern,,Conformity: rules,,,Conformity: rules,0.0,0.4,0.4,Universalism: concern=0.4955 | Benevolence: dependability=0.2241 | Conformity: interpersonal=0.1555 | Universalism: tolerance=0.1357 | Conformity: rules=0.0895
bce,11,deberta-v3-base,schwartz,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.2,0.0,IT_005,8,"""Innovation supports our Group's mission to enhance sustainability in power generation, grid development and digitalization as well as end-use electrification, thereby creating long-term shared value for our stakeholders.",Stimulation | Universalism: concern,Benevolence: caring | Universalism: nature,Benevolence: caring | Universalism: concern | Universalism: nature,,Universalism: concern,,,Universalism: concern,0.0,0.4,0.4,Benevolence: caring=0.3781 | Universalism: concern=0.2833 | Stimulation=0.0837 | Universalism: nature=0.0824 | Security: societal=0.0639
bce,11,deberta-v3-base,schwartz,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.2,0.0,BG_172,19,"Provision is also made for the written consent of the appropriate Minister for the change of use of a building or part of a building which is the object of education, science, health or culture, or of sports facilities, facilities or parts thereof, to be granted ex officio to the chief architect of a municipality or to a competent authority.",Conformity: rules,Self-direction: action | Conformity: rules,Conformity: rules,Self-direction: action,,Self-direction: action,,,0.6666666666666666,1.0,0.33333333333333337,Conformity: rules=0.3548 | Self-direction: action=0.1562 | Power: dominance=0.0337 | Universalism: concern=0.0210 | Conformity: interpersonal=0.0170
bce,11,deberta-v3-base,schwartz,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.2,0.0,BG_219,14,"The president pointed out that if the parties' choice is again early elections, it would be appropriate to hold them in early October so that a new parliament has legitimacy through increased citizen participation in the vote.",Conformity: rules,Self-direction: action | Conformity: rules,Conformity: rules,Self-direction: action,,Self-direction: action,,,0.6666666666666666,1.0,0.33333333333333337,Conformity: rules=0.3946 | Self-direction: action=0.1593 | Power: dominance=0.0859 | Universalism: concern=0.0775 | Self-direction: thought=0.0187
bce,11,deberta-v3-base,schwartz,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.2,0.0,DE_092,3,"Due to rising energy costs and food prices, employees now have a chance to receive the inflation compensation bonus.",Benevolence: caring,Power: resources | Benevolence: caring,Benevolence: caring,Power: resources,,Power: resources,,,0.6666666666666666,1.0,0.33333333333333337,Benevolence: caring=0.6204 | Universalism: concern=0.1114 | Security: societal=0.1067 | Power: resources=0.1041 | Security: personal=0.0406
bce,11,deberta-v3-base,schwartz,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.2,0.0,DE_288,33,"""We can still clarify and regulate details such as roof pitch and overhangs in the further process,"" noted Mayor Rainer Kopnicky.",Conformity: rules,Self-direction: action | Conformity: rules,Conformity: rules,Self-direction: action,,Self-direction: action,,,0.6666666666666666,1.0,0.33333333333333337,Conformity: rules=0.5606 | Self-direction: action=0.1573 | Self-direction: thought=0.0189 | Universalism: concern=0.0094 | Conformity: interpersonal=0.0071
bce,11,deberta-v3-base,schwartz,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.2,0.0,EL_075,2,"According to the World Economic Forum (WEF, 2023), within a 2-year horizon, 5 of the 10 most serious problems facing humanity will be related to climate change: natural disasters and extreme weather events, natural resource crisis, failure to adapt to climate change plans and failure to mitigate climate change.",Universalism: nature,Security: societal | Universalism: nature,Universalism: nature,Security: societal,,Security: societal,,,0.6666666666666666,1.0,0.33333333333333337,Universalism: nature=0.6071 | Security: societal=0.3106 | Universalism: concern=0.0781 | Benevolence: caring=0.0135 | Benevolence: dependability=0.0129
